training_losses,test_losses
288264.3125,275460.2083333333
276697.3125,275468.31597222225
267473.6875,275469.9270833333
283118.28125,275470.09375
288819.84375,275469.0451388889
284639.0625,275467.375
260003.84375,275465.7361111111
267291.34375,275463.3888888889
293560.84375,275460.56944444444
295821.09375,275458.28819444444
264558.75,275454.9861111111
280095.5625,275451.47569444444
280281.25,275448.0451388889
255559.421875,275443.6111111111
282976.125,275439.4270833333
275504.40625,275434.8958333333
280777.125,275430.1458333333
274649.625,275424.7708333333
275423.25,275419.08680555556
274621.3125,275413.03472222225
294841.28125,275407.1423611111
273549.0,275400.94444444444
277922.21875,275393.18402777775
266377.21875,275385.7048611111
283534.8125,275378.0
269863.40625,275369.81944444444
280904.96875,275360.8020833333
288669.6875,275351.85069444444
277258.96875,275341.8923611111
275713.9375,275330.9236111111
285441.0625,275320.5
305914.0625,275309.60069444444
255516.75,275297.1111111111
296836.1875,275284.6666666667
269625.90625,275271.9236111111
292037.84375,275259.4548611111
288016.8125,275245.78125
276445.875,275231.2673611111
267217.8125,275216.2986111111
282844.21875,275201.00347222225
288535.9375,275185.0208333333
284349.03125,275167.77777777775
259709.328125,275149.4583333333
266986.875,275130.5729166667
293233.0,275109.37847222225
295478.875,275090.63194444444
264214.75,275067.21180555556
279730.0625,275044.11805555556
279901.78125,275022.0625
255178.625,274996.46875
282556.8125,274970.6770833333
275077.34375,274943.8645833333
280316.0625,274914.4895833333
274178.3125,274882.3611111111
274924.78125,274848.90972222225
274099.53125,274813.0763888889
294289.625,274777.8298611111
272965.90625,274742.2361111111
277316.65625,274695.7951388889
265756.0625,274652.3958333333
282864.25,274606.97222222225
269157.6875,274558.3958333333
280169.8125,274505.5
287883.90625,274453.60069444444
276438.34375,274395.7013888889
274865.59375,274330.8541666667
284535.875,274269.6145833333
304951.15625,274204.3298611111
254560.765625,274130.1076388889
295759.125,274055.9375
268523.1875,273980.5625
290873.875,273904.28819444444
286790.8125,273822.75
275170.78125,273736.62847222225
265888.84375,273644.0104166667
281393.03125,273547.89930555556
287010.125,273442.35590277775
282763.0,273329.9270833333
258055.46875,273215.05902777775
265275.1875,273090.75
291364.15625,272952.2916666667
293507.4375,272824.8541666667
262195.59375,272677.390625
277568.125,272526.22222222225
277645.6875,272377.2829861111
252891.734375,272204.18055555556
280022.78125,272033.8611111111
272488.9375,271859.7916666667
277476.625,271676.31944444444
271289.875,271468.796875
271834.28125,271252.9635416667
270862.0625,271025.7170138889
290868.34375,270806.6302083333
269328.28125,270582.9982638889
273542.1875,270295.28472222225
261890.890625,270028.19097222225
278688.0625,269741.1354166667
264738.125,269447.4704861111
275602.5625,269129.3923611111
282989.0625,268827.28125
271312.28125,268489.5486111111
269583.1875,268109.65972222225
278927.4375,267753.80034722225
299003.0625,267381.4045138889
248635.953125,266958.42534722225
289133.9375,266542.6822916667
261704.828125,266133.0173611111
283794.8125,265719.69097222225
279321.625,265292.140625
267458.5625,264845.33506944444
257807.140625,264355.1892361111
272636.9375,263856.7760416667
277876.5625,263294.984375
273367.25,262706.21875
248218.65625,262139.22743055556
255197.796875,261509.08854166666
280534.46875,260826.78819444444
282074.9375,260230.28298611112
250521.59375,259540.84027777778
265234.84375,258832.76041666666
264897.0,258157.39583333334
240019.25,257357.98090277778
265887.75,256594.76041666666
258262.28125,255829.24652777778
261916.03125,255037.42534722222
255669.9375,254143.29861111112
255171.25,253223.16666666666
253627.734375,252259.85069444444
272910.40625,251352.859375
250307.140625,250428.05555555556
254101.953125,249201.42361111112
242185.75,248093.04166666666
257575.375,246911.32291666666
242569.75,245719.328125
253012.09375,244451.19097222222
259045.421875,243285.53993055556
246500.5625,241968.51388888888
244394.296875,240472.28645833334
252417.484375,239134.72222222222
271192.625,237704.97395833334
221318.421875,236126.18923611112
258813.25,234575.60590277778
230960.0625,233097.89583333334
252393.765625,231589.83680555556
246616.96875,230094.80034722222
233955.625,228568.76041666666
223230.84375,226920.26215277778
235535.125,225240.92361111112
239685.53125,223302.53125
234620.625,221278.03298611112
208092.28125,219432.28125
214862.15625,217364.078125
237541.875,215123.72743055556
237235.4375,213274.31597222222
205547.609375,211062.42708333334
218181.1875,208826.63715277778
217185.09375,206796.44270833334
192598.125,204346.67013888888
214313.75,202035.49131944444
207050.59375,199776.40104166666
206493.0625,197497.45833333334
200880.84375,194975.19270833334
197544.25,192403.82291666666
194914.953125,189726.11805555556
212484.984375,187340.875
187346.125,184827.52777777778
190680.5,181487.33159722222
178774.625,178513.15277777778
190610.515625,175467.09895833334
173411.03125,172342.64236111112
183418.265625,169146.77083333334
186315.984375,166229.86284722222
172369.75,162868.59548611112
170731.34375,159115.05034722222
175515.21875,155907.51736111112
191888.921875,152703.37152777778
145229.640625,148708.45486111112
174936.625,145201.62847222222
147903.734375,141693.49652777778
167971.84375,138500.00868055556
161078.703125,135395.40364583334
147815.609375,132333.56076388888
136149.28125,128880.34201388889
143640.8125,125784.875
147112.96875,122269.94704861111
142722.3125,118626.38020833333
115046.921875,115109.83506944444
123270.84375,111687.546875
141272.515625,108504.28993055556
138841.40625,106317.08506944444
110116.875,103059.81510416667
119474.765625,100290.0625
120506.625,98340.58680555556
99496.6640625,95082.45833333333
114724.140625,93015.35329861111
110500.8203125,90970.97309027778
103849.8984375,89517.48524305556
102678.203125,87706.75694444444
97214.4296875,85892.14756944444
95245.265625,84041.20920138889
111544.375,83635.34809027778
86076.9375,82415.96267361111
91982.90625,80254.79340277778
83621.328125,78412.76996527778
92100.328125,77202.5859375
75425.15625,75637.72829861111
87629.28125,74223.75954861111
89180.8046875,73091.52951388889
76996.921875,71355.1015625
80935.7109375,69983.50607638889
83711.390625,69262.50694444444
98576.78125,69753.80815972222
64609.44921875,67498.53211805556
83728.703125,67257.26258680556
63695.7265625,66082.98350694444
82497.296875,66176.60329861111
79800.484375,66150.88194444444
69637.625,65907.26779513889
61487.0234375,64779.88671875
65565.140625,64970.13845486111
71131.0,64770.090711805555
71484.65625,64304.92925347222
49662.875,63071.44748263889
58157.546875,62373.25434027778
71548.703125,62558.12543402778
71300.0,63336.97048611111
51679.0234375,62380.225694444445
58603.8671875,61978.993489583336
60498.4375,62237.470052083336
51964.15625,60704.23220486111
59917.45703125,60833.08550347222
59318.84375,60381.098524305555
51388.65625,60945.87326388889
54728.1953125,61049.697916666664
51620.2734375,60949.23220486111
51464.71875,60828.17621527778
61833.203125,62356.03862847222
43568.16015625,62312.87673611111
51409.0,61743.17751736111
48287.02734375,61124.27300347222
53198.3984375,61249.22699652778
39318.8984375,60570.819010416664
51169.890625,60102.63845486111
55038.30078125,59610.70269097222
44823.5234375,58521.751302083336
50972.04296875,57630.17361111111
53375.84375,57189.615885416664
62098.1875,57626.196180555555
42227.6640625,55541.68359375
52308.28125,55165.48003472222
41781.359375,53866.78472222222
50361.3828125,53622.083333333336
52615.53125,53064.118489583336
46483.92578125,52421.64236111111
40817.8046875,51007.540364583336
43490.18359375,50545.53732638889
48787.578125,49732.762586805555
50889.3125,48717.37543402778
36943.04296875,47229.97092013889
38782.7734375,46097.248697916664
48967.21875,45648.098958333336
